imdbcode,keywords
tt3371366,"['racial slur', 'ethnic slur', 'based on toy', 'chevrolet camaro', 'fifth part', 'sequel', 'king arthur', 'arthurian legend', 'knights of the round table', 'england']"
tt0369610,"['dinosaur', 'experiment gone wrong', 'disaster film', 'velociraptor', 'theme park', 'aquarium', 'helicopter crash', 'jurassic park', 'pig', 'island']"
tt1409024,"['escape from prison', 'neil armstrong character', 'alien', 'time travel', 'cape canaveral florida', 'changing history', 'parallel universe theory', 'alternate timeline', 'fortune teller', 'meeting future self']"
tt2109248,"['blockbuster', 'truck', 'texas', 'semi truck and trailer', 'based on cartoon', 'semi truck', 'car truck chase', 'yelling', 'gas station', 'abandoned theater']"
tt0955308,"['robin hood', 'archer', 'england', '1190s', 'king of england', 'british royalty', 'medieval times', 'little john character', 'king john character', 'will scarlet character']"
tt1825683,"['marvel cinematic universe', 'marvel comics', 'based on comic book', 'king', 'african king', 'fictional african country', 'superhero', 'africa', 'black panther character', 'action hero']"
tt3606756,"['computer animation', 'superheroine', 'working mother', 'superhero', 'public relations', 'parenting', 'motorcycle', 'raccoon', 'superhero costume', 'baby']"
tt3748528,"['star wars', 'loss of loved one', 'female criminal', 'female prisoner', 'hatred', 'anger', 'crash landing', 'haunted by the past', 'self sacrifice', 'prequel and sequel']"
tt2277860,"['father son relationship', 'no opening credits', 'female protagonist', 'talking whale', 'fish', 'ocean', 'friend', 'memory loss', 'shark', 'whale']"
tt0435761,"['toy', 'college', 'escape', 'day care', 'evil teddy bear', 'recycling', 'sheriff', 'janitor', 'fashion show', 'talking toy']"
tt1300854,"['terrorist', 'billionaire', 'human bomb', 'superhero', 'armor', 'falling from height', 'rescue', 'kidnapping', 'u.s. president', 'super soldier']"
tt1014759,"['alice in wonderland', 'shrinking potion', 'caterpillar character', 'the mad hatter character', 'march hare character', 'dormouse character', 'miniaturization', 'enlargement', 'mistaking reality for a dream', 'disney live action remake of animated film']"
tt1074638,"['007', 'official bond film', 'premarital sex', 'terrorist cell', 'sex in shower', 'intelligence agency', 'official james bond series', 'cleavage', 'miss moneypenny character', 'red dress']"
tt1453405,"['monster', 'university', 'fraternity', 'cheating', 'singing in a car', 'prequel', 'origin story', 'abominable snowman character', '1990s', '2000s']"
tt1623205,"['camera focus on female butt', 'year 1905', 'glinda the good character', '3 dimensional', 'cloak', 'antihero', 'hat', '1900s', 'reference to harry houdini', 'wicked witch of the west character']"
tt1877832,"['time travel', 'supernatural power', 'super strength', 'time paradox', 'dystopia', 'mutant woman', 'based on comic', 'sentinel', 'x men', 'storm']"
tt1872181,"['returning character killed off', 'secret identity', 'aunt niece relationship', 'times square', 'death of girlfriend', 'orphan', 'costumed hero', 'masked vigilante', 'teenage boy', 'convenience store robbery']"
tt1216475,"['car race', 'best friend', 'spy', 'conspiracy', 'gadget car', 'london england', 'queen elizabeth ii character', 'time bomb', 'japan', 'france']"
tt1104001,"['cyberpunk', 'disappearance', 'neo 80s', 'electronic music score', 'pumps', 'mysterious disappearance', 'bangs', 'video game world', 'gladiatorial combat', 'virtual character come to life']"
tt4123430,"['magical creature', 'paris france', 'sequel', 'wizard', 'witch', 'murder', 'professor albus dumbledore character', 'year 1923', 'cryptid', 'france']"
tt1133985,"['comicbook movie', 'ring', 'spacecraft', 'alien', 'magical ring', 'year 2011', 'year 1993', 'year 1991', 'chainsaw', 'u.s. air force']"
tt0473075,"['persia', 'alamut', 'dagger', 'prince', 'sand', 'mountain', 'knife', 'stiletto', 'big knife', 'blade']"
tt1399103,"['year 1969', 'job interview', 'chicago illinois', 'optimus prime character', 'robert f. kennedy character', 'megatron character', 'richard m. nixon character', 'john f. kennedy character', 'neil armstrong character', 'actor reprises previous role']"
tt0120616,"['mummy', 'mummy character', 'good versus evil', '1920s', 'priest', 'pharoah', 'ancient egypt', 'shared universe', 'immortal', 'immortality']"
tt1351685,"['no opening credits', 'fairy tale', 'character name as title', 'jack the giant killer character', 'psychotronic film', 'giant', 'princess', 'bean', 'king', 'monk']"
tt2820852,"['car falling off a cliff', 'star died before release', 'bulletproof vest', 'terrorist', 'revenge', 'high rise', 'car stunt', 'jumping from a car', 'hand grenade', 'hospital']"
tt1408101,"['sequel to a reboot', 'threesome', 'human female', 'adult daughter', 'james t. kirk character', 'mini skirt', 'tough girl', 'sexy alien', 'returning character killed off', 'death of protagonist']"
tt0816711,"['nova scotia', 'palestine', 'zombie', 'walled city', 'severed arm', 'south korea', 'chaos', 'pandemic', 'infection', 'disease']"
tt1343092,"['extramarital affair', 'obsessive love', 'party', 'dead body in swimming pool', 'fatal accident', '1920s', 'tragedy', 'ex lover ex lover relationship', 'married woman', 'class differences']"
tt1663662,"['kaiju', 'human piloted robot', 'pilot', 'portal', 'creature', 'robot', 'ocean', 'scientist', 'pacific ocean', 'apocalypse']"
tt1979388,"['interspecies friendship', 'human dinosaur friendship', 'dinosaur', 'apatosaurus', 'river', 'fear', 'cgi animation', 'tyrannosaurus rex', 'styracosaurus', 'pterodactyl']"
tt1217209,"['princess', 'mother daughter relationship', 'archery', 'female warrior', 'rebellious daughter', 'scotland', 'coming of age', 'female protagonist', 'bear', 'witch']"
tt3731562,"['giant spider', 'monster movie', 'giant monster', 'monster versus monster', 'pointless self sacrifice', '1940s', 'monster', 'photographer', 'hollow earth', 'stabbed through the mouth']"
tt2660888,"['star trek', 'third part', 'alien', 'stranded', 'survivor', 'alien language', 'sequel', 'hatred', 'human disguised as an alien', 'wilhelm scream']"
tt1856101,"['menage a trois', 'micro mini skirt', 'short skirt', 'female nudity', 'black bra', 'capitalism', 'miniskirt', 'bare breasts', 'two women one man', 'female full frontal nudity']"
tt6139732,"['hero', 'monkey', 'genie character', 'tiger', 'parrot', 'princess', 'carpet', 'shapeshifting', 'transformation', 'remake of oscar winner']"
tt3501632,"['superhero', 'marvel comics', 'marvel cinematic universe', 'female villain', 'sequel', 'based on comic book', 'norse god', 'asgard', 'death', 'goddess']"
tt1587310,"['dark fantasy', 'curse', 'kiss', 'sleeping beauty', 'betrayal', 'literary adaptation', 'based on fairy tale', 'retelling', 'king', 'kingdom']"
tt3183660,"['suitcase', 'magic', 'wizard', 'based on novel', 'magical creature', 'urban fantasy', 'year 1926', 'sorcery', 'orphanage', 'portal']"
tt0918940,"['africa', 'jungle', 'slavery', 'belgian', 'rescue', 'congo', 'jungle warfare', 'geopolitics', 'capture', 'king']"
tt0970179,"['railway station', 'cinema', '1930s', 'automaton', 'clock', 'orphan', 'mechanical man', 'memory', 'secret', 'steampunk']"
tt2239822,"['leg', 'cleavage', 'hard body', 'legs', 'breast', 'white bra', 'short skirt', 'bikini', 'short dress', 'french maid costume']"
tt1617661,"['space opera', 'bees', 'planet earth', 'planet', 'dynasty', 'royalty', 'human as resource', 'female starship captain', 'starship', 'space battle']"
tt4912910,"['sequel', 'ethan hunt character', 'violence', 'gun', 'spy', 'hand to hand combat', 'action hero', 'deception', 'espionage', 'cliff']"
tt3385516,"['mutant', 'x men', 'superhero team', 'superhero', 'based on comic book', 'marvel comics', 'comic book', 'good versus evil', 'year 1983', '1980s']"
tt4779682,"['love interest', 'chinawoman', 'tattooed trash', 'cleavage', 'prehistoric animal', 'based on novel', 'shark', 'megalodon', 'bare chested male', 'male objectification']"
tt1631867,"['time loop', 'alien', 'dying repeatedly', 'combat', 'end of the world', 'near future', 'alien invasion', 'battle', 'soldier', 'trapped in a time loop']"
tt4154664,"['cat', 'plot hole', 'based on comic', 'supernatural power', 'amnesiac', 'super powers', 'superhero', 'based on comic book', 'marvel cinematic universe', 'alien technology']"
tt3040964,"['jungle', 'wolf', 'fire', 'tiger', 'black panther', 'raised by animals', 'remake', 'friendship', 'bare chested boy', 'human bear relationship']"
tt2096673,"['joy', 'sadness', 'memory', 'anger', 'running away', 'emotion', 'disgust', 'fear', 'san francisco california', 'bus']"
tt2250912,"['superhero', 'marvel cinematic universe', 'reboot', 'mentor', 'teenage superhero', 'based on comic book', 'marvel comics', 'avengers', 'teenage protagonist', 'parkour']"
tt1386697,"['mission', 'insanity', 'sociopath', 'prisoner', 'based on comic book', 'villain turns good', 'father daughter relationship', 'reference to superman', 'suicide squad', 'super villain']"
tt5848272,"['wifi', 'sequel', 'disney princess', 'computer animation', 'rabbit', 'cat', 'pancake', 'milkshake', 'panic', 'computer']"
tt3606752,"['tow truck', 'moping', 'young versus old', 'year 2017', 'year 2016', 'year 2015', 'talking car', 'named car', 'photograph', 'road']"
tt1972591,"['folklore', 'excalibur', 'tyrant', 'knights of the round table', 'historical fiction', 'king arthur', 'arthurian legend', 'camelot', 'prophecy', 'fictional war']"
tt1335975,"['ronin', 'samurai', 'shogun', 'japan', 'seppuku', 'katana', 'katana sword', 'half breed', 'revenge', 'dishonor']"
tt4881806,"['dinosaur', 'raptor', 'island', 'sequel', 'clone', 'blockbuster', 'genetic engineering', 'secret laboratory', 'museum', 'rescue mission']"
tt2015381,"['outer space', 'bounty hunter', 'tree', 'talking animal', 'raccoon', 'based on comic book', 'space travel', 'female warrior', 'escape from prison', 'sony walkman']"
tt1228705,"['billionaire', 'superhero', 'power suit', 'based on comic book', 'marvel comics', 'sequel', 'based on comic', 'second part', 'marvel entertainment', 'pepper potts character']"
tt1843866,"['conspiracy', 'assassin', 'heroism', 'world domination', 'bionic arm', 'brainwashing', 'post cold war', 'rogue agent', 'presumed dead', 'superhero']"
tt2103281,"['post apocalypse', 'sequel', 'ape', 'leader', 'dam', 'hydroelectric dam', 'battle', 'colony', 'rescue', 'paranoia']"
tt1735898,"['snow white', 'queen', 'magic', 'fairy tale', 'evil queen', 'mirror', 'immortality', 'forest', 'dwarf', 'female warrior']"
tt1964418,"['time travel', 'futuristic city', 'future', 'inventor', 'pin', 'boy genius', 'destiny', 'nasa', 'machine', 'science']"
tt0437086,"['based on manga', 'cyborg', 'cyberpunk', 'live action remake of anime', 'bounty hunter', 'adaptation', 'dystopia', 'gun free zone', 'sword', 'amnesia']"
tt3741700,"['monster', 'terrorism', 'destruction', 'showdown', 'kidnapping', 'monster versus monster', 'flying monster', 'creature feature', 'helicopter', 'dragon']"
tt2567026,"['mad hatter', 'queen', 'dark fantasy', 'sequel', 'alice character', 'caterpillar character', 'the mad hatter character', 'march hare character', 'dormouse character', 'mirror as portal']"
tt0892791,"['ogre', 'donkey', 'alternate timeline', 'friend', 'deal', 'puss in boots', 'birthday', 'true love', 'hunted', 'king']"
tt1211837,"['magic', 'wizard', 'time loop', 'neurosurgeon', 'doctor', 'sorcerer', 'alternate dimension', 'time reversal', 'kathmandu nepal', 'scene during end credits']"
tt2245084,"['robot', 'martial arts', 'superhero', 'san francisco california', 'friendship', 'cat', 'funeral', 'teenager', 'sacrifice', 'inventor']"
tt0892769,"['dragon', 'viking', 'village', 'father son relationship', 'island', 'training', 'flying dragon', 'warrior', 'ship', 'combat']"
tt1772341,"['villain', 'arcade', 'jealousy', 'medal', 'party', 'betrayal', 'wedding', 'hero', 'prison', 'disguise']"
tt0816692,"['astronaut', 'saving the world', 'relativity', 'gravity', 'nasa', 'wormhole', 'father daughter relationship', 'time paradox', 'outer space', 'space travel']"
tt1628841,"['chinaman', 'almond eyes', 'thin attractive woman', 'mothership', 'battle', 'video footage', 'open ended', 'psychic', 'world domination', 'alien']"
tt2771200,"['beast', 'disney', 'fairy tale', 'heroine', ""beast's heart"", 'remake of oscar winner', 'live action remake', 'four word title', 'animal lover', 'castle']"
tt1477834,"['thug', 'tattoo', 'tattooed arm', 'tattooed trash', 'white trash', 'machismo', 'tattooed back', 'damsel in distress', 'long feminine hair cut', 'tattooed man']"
tt1375666,"['dream', 'subconscious', 'ambiguous ending', 'surprise ending', 'psycho thriller', 'strong female character', 'architecture', 'mindbender', 'falling from height', 'female hero']"
tt1951266,"['dystopia', 'rebellion', 'revolution', 'brainwashing', 'execution', 'death of sister', 'president', 'army', 'bomb', 'destruction']"
tt0831387,"['radiation', 'atomic breath', 'halo parachute jump', 'u.s. navy', 'destruction of city', 'professor', 'combat', 'monster versus monster', 'kaiju', 'hawaii']"
tt1270798,"['professor charles xavier character', 'wolverine character', 'vigilante', 'magneto character', 'shapeshifter', 'recruitment', 'mutant', 'professor', 'x men', 'year 1962']"
tt0963966,"['wizardry', 'incantation', 'sorcerer', 'ring', 'training', 'spell', 'chosen one', 'enchanted object', 'apostrophe in title', 'three word title']"
tt0803096,"['based on video game', 'orc', 'fictional language', 'sword and sorcery', 'magician', 'wizard', 'part computer animation', 'fictional war', 'loss of son', 'evil sorcerer']"
tt1860357,"['disaster movie', 'oil rig', 'deepwater horizon oil spill', 'capitalism', 'capitalist bully', 'capitalist', 'burn', 'catastrophe', 'combustion', 'flame']"
tt0980970,"['sequel', 'third part', 'the white witch character', 'lucy pevensie character', 'minotaur character', 'peter pevensie character', 'aslan character', 'susan pevensie character', 'ocean', 'father son reunion']"
tt1340138,"['cyborg', 'future', 'time machine', 'human versus cyborg', 'human versus robot', 'human versus machine', 'dark future', 'alternate timeline', 'time paradox', 'time travel']"
tt2557478,"['sea doo', 'woman with masculine short hair', 'woman with masculine hair', 'chinawoman', 'chinaman', 'teen girl with too much make up', 'woman with too much makeup', 'girl wearing a mini skirt', 'mini skirt', 'sequel']"
tt3450958,"['ape', 'planet of the apes', 'slave labour', 'battle', 'journey', 'talking animal', 'third part', 'future war', 'simian fiction', 'blonde girl']"
tt0451279,"['anti war', 'aeroplane', 'long haired woman', 'brunette', 'caught naked', 'trying on clothes', 'matriarchy', 'princess', 'distaff', 'world war one']"
tt2294629,"['magic', 'sister sister relationship', 'snowman', 'reindeer', 'ice', 'snow', 'prince', 'princess', 'supernatural power', 'ice block']"
tt2948356,"['fox', 'con artist', 'anthropomorphic animal', 'police', 'rabbit', 'mammal', 'injustice', 'anthropomorphism', 'female protagonist', 'polar bear']"
tt3521164,"['island', 'ocean', 'polynesia', 'saving the world', 'monster', 'polynesian', 'giant crab', 'fish hook', 'grandmother granddaughter relationship', 'rooster']"
tt1981115,"['open ended', 'end of the world', 'adopted brother', 'funeral', 'shapeshifting', 'based on comic', 'norse mythology', 'strong female character', 'female scientist', 'male objectification']"
tt2381249,"['spy', 'rogue agent', 'computer hacker', 'mission', 'capture', 'fugitive', 'body suit', 'jumping through a window', 'jumping from a car', 'impostor']"
tt5013056,"['1940s', 'world war two', 'soldier', 'world war two in france', 'beach', 'evacuation', 'military', 'yacht', 'survival', 'air attack']"
tt0800369,"['scientist', 'marvel cinematic universe', 'nick fury character', 'clint barton character', 'hawkeye character', 'mjolnir', 'jane foster character', 'heimdall character', 'sif character', 'darcy lewis character']"
tt1302011,"['anthropomorphic animal', 'numbered sequel', 'final showdown', 'final battle', 'interspecies friendship', 'psychotronic film', 'pandas', 'wolf', 'blockbuster', 'adoption']"
tt1392190,"['post apocalypse', 'desert', 'car chase', 'chase', 'escape', 'on the run', 'prosthetic arm', 'dystopia', 'australia', 'female warrior']"
tt5884052,"['based on video game', 'pokemon', 'live action cgi hybrid', 'cinematic universe', 'shared universe', 'detective', 'missing man', 'missing father', 'pikachu character', 'three word title']"
tt1677720,"['capitalism', 'tattooed trash', 'short skirt', 'slit skirt', 'based on novel', 'player', 'screenplay adapted by author', 'virtual reality', 'future', 'based on young adult novel']"
tt0938283,"['live action adaptation', 'based on animation', 'based on cartoon', 'supernatural power', 'handheld weapon', 'wrist restraints', 'weapon', 'giant creature', 'bladed weapon', 'worst picture razzie winner']"
tt1646987,"['greek mythology', 'underworld', 'demi god', 'myth', 'poseidon character', 'minotaur character', 'apollo the greek deity', 'ares the greek deity', 'athena the greek deity', 'hades the greek deity']"
tt1077368,"['vampire', 'camera shot of feet', 'foot closeup', 'female stockinged soles', 'female stockinged feet', 'pantyhose', 'witch', 'year 1972', 'dysfunctional family', 'nude pantyhose']"
tt2334879,"['villainess', 'female villain', 'automatic weapon', ""attempted coup d'etat"", 'stabbed with a pen', 'beaten to death', 'stabbed to death', 'eyeglasses', 'movie theater', 'black u.s. president']"
tt0780653,"['werewolf', 'asylum', 'full moon', 'the wolf man character', 'lawrence larry talbot character', 'skipping a stone', 'straitjacket', 'death', 'transformation', 'murder']"
tt2034800,"['great wall of china', 'female general', 'monster', 'mercenary', 'queen', 'invasion', 'china', 'gunpowder', 'dark hero', 'captive']"
tt3332064,"['orphan', 'child hero', '1940s', 'reference to peter pan', 'journey', 'fantasy world', 'kicked in the butt', 'peter pan character', 'captain hook character', 'smee character']"
tt1305591,"['martian', ""based on children's book"", 'motion capture', 'psychotronic film', 'mars', 'robot', 'child', 'rescue', 'saved from execution', 'firing squad']"
tt1277953,"['animal', 'circus', 'penguin', 'lemur', 'giraffe', 'zebra', 'lion', 'zoo', 'monte carlo', 'talking animal']"
tt1229238,"['race against time', 'ethan hunt character', 'luther stickell character', 'woman murders a man', 'murderess', 'fake mustache', 'british actor playing american character', 'hotel room', 'jailbreak', 'spy mission']"
tt1646971,"['dragon', 'viking', 'sequel', 'death of husband', 'sacrifice', 'rescue', 'self sacrifice', 'death', 'loss of loved one', 'death of father']"
tt1446192,"['santa claus character', 'the easter bunny character', 'abominable snowman character', 'close up of eye', 'brother sister relationship', 'brother saves his sister', 'sacrifice', 'fear', 'wonder', 'friendship']"
tt0087332,"['ghost', 'ghostbuster', 'university', 'scientist', 'paranormal investigation team', 'ghostbusting', 'supernatural being', 'haunting', 'possession', '1980s']"
tt0458339,"['superhero', 'nazi', 'marvel comics', 'based on comic book', 'scientist', 'soldier', 'tesseract', 'courage', 'war bond', 'patriotism']"
tt2267968,"['title co directed by female', 'younger version of character', 'falling downhill', 'title directed by female', 'psychotronic film', 'anthropomorphic animal', 'chinese culture', 'crane the bird', 'numbered sequel', 'liar revealed']"
tt1583421,"['gi joe', 'ninja', 'martial arts', 'ensemble cast', 'sarcasm', 'younger version of character', 'air strike', 'subjective camera', 'the white house', 'washington monument washington d.c.']"
tt1528100,"['moses', 'pharaoh', 'plague', 'egypt', 'exodus', 'sibling rivalry', 'old testament', 'well', 'battle', 'act of god']"
tt3691740,"['orphan', 'giant', 'dream', 'queen', 'london england', 'england', 'based on book', 'orphan girl', 'little girl', 'evil brother']"
tt2404233,"['egypt', 'ancient egypt', 'throne', 'giant cobra', 'egyptian', 'egyptian mythology', 'eye', 'transforming weapon', 'horned humanoid', 'minotaur']"
tt0481499,"['caveman', 'journey', 'cave', 'survival', 'strict father', 'prehistoric man', 'cavewoman', 'elderly woman', 'family character name as title', 'thief']"
tt1663202,"['survival', 'bear attack', 'native american', 'left to die', 'based on true story', 'fur', 'nature', 'cauterizing a wound', 'father son relationship', 'wilderness']"
tt1192628,"['water', 'sheriff', 'chameleon', 'lizard', 'desert', 'water shortage', 'rattlesnake', 'duel', 'bank', 'gunslinger']"
tt1860353,"['animal character name as title', 'snail', 'race', 'garden', 'accident', 'speed', 'freak accident', 'team', 'rescue', 'nitrous oxide']"
tt3949660,"['sequel', 'based on comic book', 'turtle', 'based on cartoon', 'rat', 'brother brother relationship', 'anthropomorphic animal', 'talking animal', 'splinter character', ""april o'neil character""]"
tt1402488,"['anthropomorphic penguin', 'warner bros.', 'seal the animal', 'box office bomb', 'penguin', 'krill', 'animal protagonist', 'cgi animation', 'puffin', 'snowstorm']"
tt5523010,"['female villain', 'fairy tale', 'fairy', 'magical object', 'disney', 'snow', 'horse', 'princess', 'mother daughter relationship', 'attic']"
tt1911658,"['talking animal', 'polar bear', 'wolf', 'cat', 'octopus', 'penguin', 'owl', 'revenge plot', 'spy', 'park']"
tt1951264,"['dictator', 'based on young adult novel', 'female hero', 'female protagonist', 'action heroine', 'katniss everdeen character', 'strong female lead', 'strong female character', 'teenager', 'female warrior']"
tt5095030,"['action heroine', 'car chase', 'truth serum', 'house arrest', 'father daughter relationship', 'based on comic book', 'superhero', 'action hero', 'female villain', 'loss of wife']"
tt0478970,"['miniaturized man', 'shrinking', 'heist', 'ant', 'sabotage', 'miniaturization', 'miniaturized human', 'corporate', 'ant man character', 'scott lang character']"
tt2224026,"['mother daughter relationship', 'alien', 'human', 'friendship', 'interspecies friendship', 'outer space', 'human female', 'human girl', 'extraterrestrial', 'supermarket']"
tt5028340,"['nanny', 'animated sequence', 'magic', 'second part', 'dolphin', 'umbrella', 'underwater scene', 'drawing', 'family relationships', 'brother sister relationship']"
tt0448694,"['anthropomorphic animal', 'origin of hero', 'action hero', 'action heroine', 'split screen', 'title at the end', 'frame up', 'bag of money', 'above the clouds', 'castle']"
tt1001526,"['time bomb', 'non comic book superhero', 'character name as title', 'superhero parody', 'reference to superman character', 'tubi tv', 'produced by ben stiller', 'reference to superman', 'cult film', 'liar revealed']"
tt2357291,"['father son relationship', 'dog', 'tomboy', 'heroine', 'south america', 'latin america', 'rio de janeiro', 'north brazil', 'finale', 'little boy']"
tt0944835,"['feminine hair', 'tattooed trash', 'woman with long hair', 'russkies', 'slit dress', 'cia', 'russian', 'on the run', 'spy', 'funeral']"
tt1959490,"['water', 'wrath of god', 'based on biblical story', 'ark', ""noah's ark"", 'bible story', 'old testament', 'liberation theology', 'vegan', 'snakeskin']"
tt0983193,"['treasure', 'dog', 'ship', 'captain', 'murder', 'model ship', 'escape', 'kidnapping', 'reporter', 'based on comic book']"
tt1815862,"['real life father and son playing father and son', 'post apocalypse', 'future', 'space voyage', 'fear', 'father son team', 'alien predator', 'chick', 'race against time', 'alien']"
tt0790736,"['based on comic book', 'artefact', 'villain', 'end of the world', 'gun fu', 'gunslinger', 'buddy cop', 'buddy comedy', 'detective', 'boston massachusetts']"
tt2386490,"['sequel', 'finale', 'dragon hunter', 'flaming sword', 'dragon rider', 'hero', 'white dragon', 'dragon', 'cgi animation', 'viking']"
tt1673434,"['super strength', '2000s', '2010s', 'worst picture razzie winner', 'lionsgate', 'directed by bill condon', 'teen movie', 'vampire', 'battle', 'friend']"
tt3315342,"['marvel comics', 'x men', 'superhero', 'mutant', 'north dakota', 'reluctant hero', 'death of protagonist', 'returning character killed off', 'self sacrifice', 'child soldier']"
tt2692250,"['night watchman', 'museum of natural history manhattan new york city', 'star died before release', 'museum', 'tablet', 'volcano', 'pompeii', 'lancelot', 'historic figures as characters', 'capuchin monkey']"
tt1680310,"['playstation 3', 'xbox 360', 'nintendo wii', 'single player', 'nintendo ds', 'harry potter', 'third person shooter', 'sequel', 'second part', 'microsoft windows']"
tt1951265,"['uprising', 'based on young adult novel', 'rebellion', 'symbol', 'manipulation', 'oppression', 'deception', 'open ended', 'psychological warfare', 'torture']"
tt1571403,"['single player', 'microsoft windows', 'nintendo ds', 'based on film', 'playstation 3', 'xbox 360', 'nintendo wii', 'third person shooter', 'harry potter', 'worst video game']"
tt1596343,"['heist', 'safe', 'rio de janeiro brazil', 'drugs', 'federal agent', 'police', 'drug lord', 'escape', 'police station', 'fugitive']"
tt0100758,"['teenage mutant ninja turtles', 'splinter character', ""april o'neil character"", 'anthropomorphic animal as protagonist', 'animal hero', 'animal in love with a woman', 'mutant animal', 'tv reporter', 'campfire', 'teenage crime']"
tt1515091,"['gypsy woman', 'man disguised as a woman', 'investigation', 'riding a freight train', 'climbing outside a train', 'ballroom dancing', 'gypsy camp', 'playing bagpipes', 'strasbourg france', 'sniper rifle']"
tt3874544,"['baby', 'puppy', 'cookie', 'puppy love', 'mother son relationship', 'father son relationship', 'brother brother relationship', 'talking baby', 'cgi animation', 'dog costume']"
tt0082186,"['quest', 'gods', 'remade', 'mythology', 'kraken', 'goddess', 'myth', 'riddle', 'monster', 'stop motion animation']"
tt1679335,"['glitter', 'depression', 'troll doll', '3d animation', 'female protagonist', 'friendship', 'friendship between man and woman', 'male and female protagonists', 'father daughter relationship', 'grandmother grandson relationship']"
tt1446714,"['planet', 'cryogenics', 'cave', 'impregnation', 'mission', 'medical scanner', 'emergency surgery', 'immolation', 'cave painting', 'disembodied head']"
tt1194173,"['wolf', 'drone', 'pill', 'cia', 'assassin', 'riding a motorcycle up stairs', 'running on a roof', 'manhunt', 'log cabin', 'undercover agent']"
